"work_company","cnt"
,"386302"
"Facebook","13449"
"Pa pune","7334"
"I vetepunesuar","2284"
"Biznes","1382"
"Tirana","1211"
"Shkodra","1120"
"Arsimtar","968"
"AC Milan","917"
"Mercedes","852"
"Real Madrit","789"
"Ministria e Mbrojtjes","750"
"FC Barcelona","738"
"Berat, Albania","574"
"Elbasan, Albania","480"
"Policia e Shtetit","469"
"QSUT","413"
"OSHEE","409"
"Menaxher","393"
"Vodafone Albania","383"
"Student","379"
"lesh lesh","351"
"Durres","341"
"Inter","324"
"Gucci","323"
"shofer","297"
"adidas Originals","285"
"Bashkia Tirana","283"
"Ibra","282"
"Infermier","278"
"Muzik","276"
"Juventus","273"
"Lushnja","262"
"Burrel, Albania","260"
"Partia Socialiste e Shqipërisë","248"
"Korça, Albania","244"
"Vlora, Albania","244"
"Tirana Fanatics","244"
"Avokat","243"
"Top Channel","233"
"Forcat e Armatosura të Shqipërisë","228"
"Londer, United Kingdom","225"
"Pension","225"
"ALBtelecom","204"
"Raiffeisen Bank","195"
"Louis Vuitton","188"
"Spitali Amerikan - American Hospital Albania","177"
"Shtepiake","177"
" Zihemi Se Duhemi ","176"
"FC Bayern München","174"
"Agna Group","171"
"Telekom Albania","167"
"Partia Demokratike e Shqiperise","154"
"Teleperformanca","153"
"Bulqiza","151"
"Arkitekt","149"
"RTSH","145"
"ekonomist","144"
"Kengetar","139"
"futbollist","139"
"parukiere","136"
"Ministria e Brendshme","136"
"Posta Shqiptare","134"
"Red Bull","134"
"Biznesmen","132"
"Farmaci","130"
"UNIVERSITETI I TIRANES","129"
"FBI – Federal Bureau of Investigation","127"
"Credins Bank","124"
"adidas","115"
"Calvin Klein","113"
"TIRANA INTERNATIONAL AIRPORT","108"
"BMW","104"
"Ultras Guerrils 08-09","103"
"Albpetrol sh.a","100"
"TvKlan","100"
"mekanik","100"
"Intercom Data Service Group","97"
"Coca-Cola","97"
"Artist","96"
"KF Skënderbeu","93"
"Fieri","93"
"Milan","92"
"Kukës","91"
"Stomatolog","90"
"Tirana Bank","88"
"Spitali Rajonal Durres","88"
"Nike","83"
"Model","82"
"Bankers Petroleum Ltd.","82"
"Avon","81"
"Banka Kombëtare Tregtare","80"
"Federata Shqiptare E Footballlit","80"
"JOQ Albania","77"
"Footballlist","77"
"Ministria e Drejtësisë","77"
"Ministria e Financave dhe Ekonomisë","77"
"IBra Servis","76"
"DigitAlb","76"
"BOSS","76"
"Apple","76"
"Administrator","75"
"Albania","73"
"New York, New York","70"
"Universiteti Europian i Tiranas","69"
"Alpha Bank","68"
"Athens, Greece","68"
"Inxhinieria e Ndërtimit","68"
"University of Elbasan","67"
"Fushë-Kruja","66"
"Jurist","66"
"Hygeia Hospital Tirana - HHT","65"
