"cnt","id","current_district","current_country","current_state","hometown_district","hometown_country","hometown_state","facebook_current_address","facebook_hometown_address"
"1638","1183","Tirana","Tirana","Tirana","Fieri","Fieri","Fieri","Tirana","Fieri"
"1592","391","Tirana","Tirana","Tirana","Korça","Korça","Albania","Tirana","Korça, Albania"
"1422","673","Tirana","Tirana","Tirana","Vlora","Vlora","Albania","Tirana","Vlora, Vlora, Albania"
"1414","792","Tirana","Tirana","Tirana","Berat","Berat","Albania","Tirana","Berat, Albania"
"1321","49","Tirana","Tirana","Tirana","Kukës","Kukës","Albania","Tirana","Kukës, Kukës, Albania"
"1060","317","Tirana","Tirana","Tirana","Burrel","Burrel","Albania","Tirana","Burrel, Albania"
"1013","378","Tirana","Tirana","Tirana","Elbasan","Elbasan","Albania","Tirana","Elbasan, Albania"
"1011","202","Tirana","Tirana","Tirana","Shkodra","Shkodra","Shkodra","Tirana","Shkodra"
"1007","252","Tirana","Tirana","Tirana","Peshkopi","Dibër","Albania","Tirana","Peshkopi, Dibër, Albania"
"922","140","Tirana","Tirana","Tirana","Tropoja","Tropoja","Tropoja","Tirana","Tropoja"
"796","138","Tirana","Tirana","Tirana","Lushnja","Fieri","Albania","Tirana","Lushnja, Fieri, Albania"
"782","567","Tirana","Tirana","Tirana","Pogradec","Pogradec","Albania","Tirana","Pogradec, Albania"
"772","231","Tirana","Tirana","Tirana","Tepelen","Tepelen","Albania","Tirana","Tepelen, Albania"
"752","1717","Tirana","Tirana","Tirana","Përmet","Përmet","Përmet","Tirana","Përmet"
"725","1192","Tirana","Tirana","Tirana","Durres","Durres","Albania","Tirana","Durres, Durres, Albania"
"679","828","Tirana","Tirana","Tirana","Dibra","Dibër","Albania","Tirana","Dibra, Dibër, Albania"
"611","301","Tirana","Tirana","Tirana","Gjirokastër","Gjirokastër","Gjirokastër","Tirana","Gjirokastër"
"537","211","Tirana","Tirana","Tirana","Puka","Puka","Puka","Tirana","Puka"
"520","4434","Tirana","Tirana","Tirana","Saranda","Saranda","Saranda","Tirana","Saranda"
"471","68","Tirana","Tirana","Tirana","Gramsh","Elbasan","Albania","Tirana","Gramsh, Elbasan, Albania"
"450","30","Tirana","Tirana","Tirana","Librazhd","Librazhd","Librazhd","Tirana","Librazhd"
"410","284","Londer","Londer","United Kingdom","Tirana","Tirana","Tirana","Londer, United Kingdom","Tirana"
"408","1914","Tirana","Tirana","Tirana","Erseka","Erseka","Erseka","Tirana","Erseka"
"373","447","Tirana","Tirana","Tirana","Crap","Crap","Tirana","Tirana","Crap, Tirana"
"341","682","Tirana","Tirana","Tirana","Lezha","Lezha","Lezha","Tirana","Lezha"
"332","366","Tirana","Tirana","Tirana","Corovoda","Corovoda","Corovoda","Tirana","Corovoda"
"323","203","Tirana","Tirana","Tirana","Laç","Laç","Laç","Tirana","Laç"
"317","1234","Tirana","Tirana","Tirana","Kruja","Kruja","Kruja","Tirana","Kruja"
"312","1975","Tirana","Tirana","Tirana","Rrëshen","Rrëshen","Rrëshen","Tirana","Rrëshen"
"311","872","Durres","Durres","Durres","Tirana","Tirana","Tirana","Durres","Tirana"
"304","293","Tirana","Tirana","Tirana","Kuçova","Berat","Albania","Tirana","Kuçova, Berat, Albania"
"254","1472","Tirana","Tirana","Tirana","Bulqiza","Bulqiza","Bulqiza","Tirana","Bulqiza"
"240","1500","Durres","Durres","Durres","Berat","Berat","Albania","Durres","Berat, Albania"
"237","2380","Tirana","Tirana","Tirana","Kavaja","Kavaja","Kavaja","Tirana","Kavaja"
"222","99","Tirana","Tirana","Tirana","Londer","Londer","United Kingdom","Tirana","Londer, United Kingdom"
"198","2346","Tirana","Tirana","Tirana","Fushë-Kruja","Fushë-Kruja","Fushë-Kruja","Tirana","Fushë-Kruja"
"196","2407","Durres","Durres","Durres","Korça","Korça","Albania","Durres","Korça, Albania"
"194","4649","Durres","Durres","Albania","Burrel","Burrel","Albania","Durres, Durres, Albania","Burrel, Albania"
"190","15114","Kamëz","Kamëz","Kamëz","Tirana","Tirana","Tirana","Kamëz","Tirana"
"184","1191","Tirana","Tirana","Tirana","Ballsh","Ballsh","Ballsh","Tirana","Ballsh"
"181","4142","Durres","Durres","Durres","Kukës","Kukës","Albania","Durres","Kukës, Kukës, Albania"
"176","771","Tirana","Tirana","Tirana","Sauk","Sauk","Tirana","Tirana","Sauk, Tirana"
"164","10552","Durres","Durres","Durres","Peshkopi","Peshkopi","Peshkopi","Durres","Peshkopi"
"161","1748","Durres","Durres","Durres","Dibra","Dibër","Albania","Durres","Dibra, Dibër, Albania"
"155","1833","Crap","Crap","Tirana","Tirana","Tirana","Tirana","Crap, Tirana","Tirana"
"155","436","Milan","Milan","Milan","Tirana","Tirana","Tirana","Milan","Tirana"
"145","2348","Durres","Durres","Albania","Librazhd","Librazhd","Librazhd","Durres, Durres, Albania","Librazhd"
"142","14715","Durres","Durres","Durres","Gramsh","Gramsh","Gramsh","Durres","Gramsh"
"139","3661","Durres","Durres","Albania","Shijak","Shijak","Shijak","Durres, Durres, Albania","Shijak"
